編號	突變	期望	得到	結果
M1	靶場那條 sink 被修掉了	期望沒過（第 1,6 條）	得到沒過（第 1,6 條）	通過
M2	api.js 不再原樣回傳模型輸出	期望沒過（第 2 條）	得到沒過（第 2 條）	通過
M3	PoC 的判準換成比對字串	期望沒過（第 3 條）	得到沒過（第 3 條）	通過
M4	Day 26 的存檔少掉來源那一條	期望沒過（第 4 條）	得到沒過（第 4 條）	通過
M5	Day 27 存檔裡的來源被改成正確的	期望沒過（第 5 條）	得到沒過（第 5 條）	通過
M6	存檔裡的行號被改成對的	期望沒過（第 6 條）	得到沒過（第 6 條）	通過
M7	PoC 的註解不再指回 Day 5	期望沒過（第 7 條）	得到沒過（第 7 條）	通過
M8	索引表少掉這一份 recipe	期望沒過（第 8 條）	得到沒過（第 8 條）	通過
M9	存檔裡多出它指到那條鏈	期望沒過（第 9 條）	得到沒過（第 9 條）	通過
M10	render.js 不再引用 api.js	期望沒過（第 9 條）	得到沒過（第 9 條）	通過
M0	chain-exec.mjs 加一行註解	期望通過	得到通過	通過

通過 11、沒抓到 0
