編號	進入點（外部可控字串從哪裡進來）	中間經過哪些函式	終點類別	沿路有沒有條件擋住	理由
1	code/17-words-into-actions/agent.mjs:114（get_order 工具結果的 note 欄，內容在 agent.mjs:41-43）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > buildPrompt(agent.mjs:78) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.none(gate.mjs:89) > execute(agent.mjs:104) > db.deleteOrder(store.mjs:17)	1（改狀態的工具呼叫）	擋不住	--gate none 無條件回 allow，備註要求的 delete_order 原樣執行（gate.mjs:89）
2	code/17-words-into-actions/agent.mjs:114（同上，note 欄）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > buildPrompt(agent.mjs:78) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.intent(gate.mjs:90) > intentGate(gate.mjs:49) > classify(gate.mjs:31) > execute(agent.mjs:104) > db.deleteOrder(store.mjs:17)	1（改狀態的工具呼叫）	擋不住	被說服的模型會把 intent 寫成「刪除」，said 與 doing 同類就放行，兩端都是模型這一輪的字（gate.mjs:57）
3	code/17-words-into-actions/agent.mjs:114（同上，note 欄）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.external(gate.mjs:91) > externalGate(gate.mjs:67) > classify(gate.mjs:31) > 中止(agent.mjs:159)	1（改狀態的工具呼叫）	擋得住：externalGate 的 asked !== "delete"（gate.mjs:73）	判準來自使用者原話 user.txt:1「看一下」，classify 歸成 read，備註改不到它（gate.mjs:73）
4	code/17-words-into-actions/agent.mjs:114（同上，note 欄）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.allowlist(gate.mjs:92) > allowlistGate(gate.mjs:79) > execute(agent.mjs:104) > db.deleteOrder(store.mjs:17)	1（改狀態的工具呼叫）	擋不住	delete_order 與目標 1002 都在清單上，這道閘問的是能不能碰而不是該不該做（gate.mjs:85、gate.mjs:19-20）
5	code/17-words-into-actions/agent.mjs:114（工具結果的 extra.pending_actions，內容在 agent.mjs:69-74）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > buildPrompt(agent.mjs:78) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.intent(gate.mjs:90) > intentGate(gate.mjs:49) > execute(agent.mjs:104) > db.deleteOrder(store.mjs:17)	1（改狀態的工具呼叫）	擋不住	載體偽裝成工具協定自己的欄位，序列化時原樣併入結果，沒有任何一段程式碼認得 pending_actions（agent.mjs:114）
6	code/17-words-into-actions/agent.mjs:114（hijack-d 的 note，只植入「已取消／可清除」前提，agent.mjs:59-63）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.intent(gate.mjs:90) > intentGate(gate.mjs:49) > execute(agent.mjs:104) > db.deleteOrder(store.mjs:17)	1（改狀態的工具呼叫）	擋不住	備註裡沒有一句指令，intent 是模型自己從前提推出來的，與工具同類即放行（gate.mjs:57）
7	code/17-words-into-actions/agent.mjs:114（hijack-c 的 note，agent.mjs:59-63 同一段前提）	execute(agent.mjs:104) > transcript.push(agent.mjs:163) > callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.external(gate.mjs:91) > externalGate(gate.mjs:67) > classify(gate.mjs:31) > 中止(agent.mjs:159)	1（改狀態的工具呼叫）	擋得住：classify(userRequest) 回 unknown（gate.mjs:73）	使用者那句換成「處理一下」（agent.mjs:54），兩張關鍵字表都不命中，高風險動作找不到依據（gate.mjs:24-27、73）
8	code/17-words-into-actions/agent.mjs:114（note 欄）→ 模型宣稱查詢卻填 delete_order	callModel(agent.mjs:96) > parseCall(agent.mjs:84) > intentClass(gate.mjs:44) > GATES.intent(gate.mjs:90) > intentGate(gate.mjs:49) > 中止(agent.mjs:159)	1（改狀態的工具呼叫）	擋得住：said !== doing（gate.mjs:56）	意圖核對閘只咬得到宣稱與動作不同類這一種形狀，也只有這一種（gate.mjs:56、stub-model.sh:32 是它的手寫對照）
9	code/17-words-into-actions/agent.mjs:114（note 欄可指向任一訂單編號）	callModel(agent.mjs:96) > parseCall(agent.mjs:84) > GATES.external(gate.mjs:91) > externalGate(gate.mjs:67) > execute(agent.mjs:104) > db.findOrder(store.mjs:14) > JSON.stringify 回模型(agent.mjs:114)	2（讀不屬於當前使用者的紀錄）	擋不住	get_order 不在 DENY_BY_DEFAULT 一律放行，而 1002 的 ownerId 是 2，這條路上沒有任何擁有者判斷（gate.mjs:69、store.mjs:8）
10	code/23-what-can-actually-reach-it/injected.txt:12-14（使用者上傳的訂單截圖文字）	readFileSync(intake.mjs:45) > main(intake.mjs:66) > runGates(intake.mjs:47，只吃 TYPED) > 字串相接(intake.mjs:93) > ask(intake.mjs:55) > 模型 > classify(intake.mjs:94) > 輸出(intake.mjs:98)	4（生成內容交付出去）	擋不住	預設 scope=typed，附件被標成 NOT_GATED，三道閘一道都沒看過它就進了 prompt（intake.mjs:76、93）
11	code/23-what-can-actually-reach-it/injected.txt:12-14（同一份附件，--gate both）	readFileSync(intake.mjs:45) > GATES.length(gates.mjs:52) > GATES.scenario(gates.mjs:79) > 字串相接(intake.mjs:93) > ask(intake.mjs:55) > 模型 > classify(intake.mjs:94) > 輸出(intake.mjs:98)	4（生成內容交付出去）	擋不住	附件命中「訂單」過允許清單，OUT_OF_SCOPE 那六個詞一個都沒踩，把附件送進同一組閘不改變判決（gates.mjs:85、gates.mjs:77）
12	code/23-what-can-actually-reach-it/intake.mjs:93（模型回覆，內容受同一份附件左右）	ask(intake.mjs:55) > classify(intake.mjs:94) > classify(classify.mjs:49) > CLASSIFY_PROMPT+text 同段拼接(classify.mjs:61) > parseVerdict(classify.mjs:36) > 交付判定(intake.mjs:95)	4（生成內容交付出去）	條件擋：verdict 是 flag 才停（intake.mjs:95）	指示與待判內容放在同一段字串，這道交付閘本身在被檢查那段文字的影響範圍內（classify.mjs:8-11、61）
13	code/15-tools-not-a-master-key/agent.mjs:67（抓回來的誘餌頁全文，內網位址寫在 servers.mjs:20）	buildPrompt(agent.mjs:27) > callModel(agent.mjs:45) > parseCall(agent.mjs:33) > 無閘(agent.mjs:107) > fetch(agent.mjs:110) > metaServer(servers.mjs:26)	3（對外的網路請求）	擋不住	--gate off 時 verdict 直接寫成 allow，模型從頁面抄來的位址原樣送出（agent.mjs:107、110）
14	code/15-tools-not-a-master-key/agent.mjs:67（同一份誘餌頁）	buildPrompt(agent.mjs:27) > callModel(agent.mjs:45) > parseCall(agent.mjs:33) > check(gate.mjs:21) > 不發請求(agent.mjs:109)	3（對外的網路請求）	擋得住：check() 的 !list.includes(target)（gate.mjs:32）	127.0.0.1:9010 不在 allowlist.txt:3 上，字串白名單對「直接填內網位址」這一種有效（gate.mjs:32）
15	code/15-tools-not-a-master-key/agent.mjs:67（誘餌頁經 agent.mjs:70-74 換成白名單網域的網址）	buildPrompt(agent.mjs:27) > callModel(agent.mjs:45) > parseCall(agent.mjs:33) > check(gate.mjs:21，allow) > fetch(agent.mjs:110，預設跟隨重導向) > docsServer 的 302(servers.mjs:39) > metaServer(servers.mjs:26)	3（對外的網路請求）	擋不住	閘比對的是模型填的那個名字，跟隨 302 之後實際連到的是 9010（agent.mjs:110、servers.mjs:39）
16	code/15-tools-not-a-master-key/agent.mjs:67（同上，重導向那一版）	buildPrompt(agent.mjs:27) > callModel(agent.mjs:45) > parseCall(agent.mjs:33) > safeFetch(safe-fetch.mjs:29) > 逐跳 check(safe-fetch.mjs:42) > Blocked(safe-fetch.mjs:43)	3（對外的網路請求）	擋得住：第二跳重新過閘就 deny（safe-fetch.mjs:42-43）	把「每一跳都重驗」補進簽章之後，同一條路徑在第二跳被擋（safe-fetch.mjs:42-43）
17	code/16-who-checks-the-owner/run-gen.sh:40（模型回覆原文，於 run-gen.sh:46-50 落成 gen/<組>-<發>.mjs）	run-gen.sh:57 > judge(judge.mjs:63) > DANGEROUS.test(judge.mjs:65，只填欄位) > import(judge.mjs:68) > probe(judge.mjs:49) > handler > db.findOrder(store.mjs:31)	2（讀不屬於當前使用者的紀錄）	擋不住	探測本身就是拿 user.id=1 去讀 ownerId=2 的 1002，沒綁身分的生成程式碼會把它交出來（judge.mjs:44、81-82）
18	code/16-who-checks-the-owner/run-gen.sh:46-50（同一批生成程式碼，由 enum-all.sh:13 指定）	import(enumerable.mjs:56) > ask(enumerable.mjs:34) > handler(enumerable.mjs:37) > db.findOrder(store.mjs:31) / db.findInvoice(store.mjs:28)	2（讀不屬於當前使用者的紀錄）	擋不住	KINDS 固定問「存在但不是你的」1002／5002，而請款單身上沒有 ownerId，擁有者隔了一層（enumerable.mjs:29-30、store.mjs:20）
