order	arm	run	armname	requests	inblocked	sent	refused	guarded	outverdict	outreason
1	direct	1	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
2	direct	12	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
3	direct	5	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
4	direct	7	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
5	direct	9	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
6	direct	10	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
7	direct	11	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
8	direct	4	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
9	direct	6	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
10	direct	8	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
11	direct	2	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
12	direct	3	direct	1	1	0	0	0	n/a	輸入側全擋，沒有東西送到第四道
