編號	進入點（外部可控字串從哪裡進來，寫 file:line）	中間經過哪些函式（用 > 串）	終點是上面哪一類	沿路有沒有條件擋住	理由（一句，附 file:line）
1	code/15-tools-not-a-master-key/agent.mjs:48	callModel > parseCall > main	3. 對外的網路請求（fetch）	沒有；gate=off 時固定放行	模型回覆由外部 MODEL_CMD 產生，parseCall 取出 url 後在 gate=off 分支送入 fetch（code/15-tools-not-a-master-key/agent.mjs:107、110）。
2	code/15-tools-not-a-master-key/agent.mjs:48	callModel > parseCall > check > main	3. 對外的網路請求（fetch）	有條件；gate=on 且網址不在白名單時擋得住	模型回覆的 url 先經 check，只有 verdict.allow 才會呼叫 fetch（code/15-tools-not-a-master-key/agent.mjs:107、109-110）。
3	code/15-tools-not-a-master-key/agent.mjs:48	callModel > parseCall > safeFetch > check > resolve > fetchImpl	3. 對外的網路請求（fetch）	有條件；每跳白名單、解析位址、最多五跳	模型回覆的 url 在 safe 模式逐跳經 check 與位址檢查，通過才交給 fetchImpl（code/15-tools-not-a-master-key/safe-fetch.mjs:42-57）。
4	code/15-tools-not-a-master-key/agent.mjs:67	buildPrompt > callModel > parseCall > check > main	3. 對外的網路請求（fetch）	有條件；gate=on 檢查模型產生的網址，但自動重導向的後續網址未重查	抓回的網頁文字進模型後可影響 url，第一跳通過 check 就由預設自動重導向的 fetch 送出（code/15-tools-not-a-master-key/agent.mjs:77、107-110）。
5	code/15-tools-not-a-master-key/safe-fetch.mjs:64	safeFetch > check > resolve > fetchImpl	3. 對外的網路請求（fetch）	擋得住；重導向 Location 會在下一圈重過白名單與位址檢查	外部回應的 Location 被寫回 current，但下一次 fetchImpl 前必經 check 與 resolve（code/15-tools-not-a-master-key/safe-fetch.mjs:41-57、64-66）。
6	code/17-words-into-actions/agent.mjs:99	callModel > parseCall > GATES.none > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	沒有；none 那道檢查固定放行	模型回覆可控制 tool 與 args，none 回 allow 後 execute 呼叫 db.deleteOrder（code/17-words-into-actions/gate.mjs:89；code/17-words-into-actions/agent.mjs:156-162、104-106）。
7	code/17-words-into-actions/agent.mjs:99	callModel > parseCall > intentGate > classify > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	有條件但擋不住一致宣稱；意圖與工具同為 delete 即放行	intentGate 只比較同一份模型回覆裡的 intent 與 tool，兩者一致便 allow（code/17-words-into-actions/gate.mjs:49-57）。
8	code/17-words-into-actions/agent.mjs:99	callModel > parseCall > externalGate > classify > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	擋得住查詢請求；原始請求未分類成 delete 即拒絕	外部基準檢查對 delete_order 另查 userRequest，asked 不是 delete 就 deny（code/17-words-into-actions/gate.mjs:67-75）。
9	code/17-words-into-actions/agent.mjs:99	callModel > parseCall > allowlistGate > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	有條件但 1001、1002、1003 擋不住	工具與目標都在清單時 allow，之後 execute 直接刪除（code/17-words-into-actions/gate.mjs:19-20、79-85；code/17-words-into-actions/agent.mjs:162）。
10	code/17-words-into-actions/agent.mjs:113	execute(get_order) > JSON.stringify > transcript.push > buildPrompt > callModel > parseCall > intentGate > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	有條件但擋不住一致宣稱；intentGate 只看模型產生的 intent 與 tool	工具回傳的 note 進入下一輪 transcript，若模型一致宣稱刪除，intentGate 放行並執行（code/17-words-into-actions/agent.mjs:114、143-163）。
11	code/17-words-into-actions/agent.mjs:114	execute(get_order) > JSON.stringify > transcript.push > buildPrompt > callModel > parseCall > allowlistGate > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	有條件但合法工具與目標擋不住	工具結果的額外欄位會整包序列化進上下文，而 allowlistGate 只檢查工具名與 id（code/17-words-into-actions/agent.mjs:69-74、114；code/17-words-into-actions/gate.mjs:79-85）。
12	code/17-words-into-actions/agent.mjs:113	execute(get_order) > JSON.stringify > transcript.push > buildPrompt > callModel > parseCall > externalGate	1. 會改變狀態的工具呼叫（delete_order）	擋得住；使用者原始請求是查詢時 externalGate 拒絕刪除	備註雖可影響第二輪模型輸出，externalGate 仍以未被備註改寫的 userRequest 判斷（code/17-words-into-actions/agent.mjs:133、156；code/17-words-into-actions/gate.mjs:71-75）。
13	code/17-words-into-actions/agent.mjs:133	buildPrompt > callModel > parseCall > externalGate > classify > execute > db.deleteOrder	1. 會改變狀態的工具呼叫（delete_order）	有條件；原始字串分類為 delete 才放行	使用者原始請求本身可使 externalGate 回 USER_BASIS_OK，之後呼叫 deleteOrder（code/17-words-into-actions/gate.mjs:71-75；code/17-words-into-actions/agent.mjs:162）。
14	code/17-words-into-actions/agent.mjs:99	callModel > parseCall > GATES.none > execute > db.findOrder	2. 讀取資料層裡不屬於當前使用者的紀錄	沒有；這個 agent 沒有把登入者身分傳給資料層	模型回覆可控制 get_order 的 id，execute 只按 id 呼叫 findOrder（code/17-words-into-actions/agent.mjs:108-114）。
15	code/16-who-checks-the-owner/server.mjs:15	createServer callback > login > db.findOrders > db.findOrder	2. 讀取資料層裡不屬於當前使用者的紀錄	有條件但仍會讀；需登入、路由相符且受身分限制的查詢無結果	訂單路徑的 id 先做 owner 過濾，查不到時又以同一 id 呼叫不帶 owner 的 findOrder 取得真實擁有者（code/16-who-checks-the-owner/server.mjs:29-43）。
16	code/16-who-checks-the-owner/known-bad.mjs:8	handler > db.findOrder	2. 讀取資料層裡不屬於當前使用者的紀錄	沒有；沒有 ownerId 與 req.user.id 比對	外部 req.params.id 直接進 findOrder，處理函式只檢查紀錄是否存在（code/16-who-checks-the-owner/known-bad.mjs:8-10）。
17	code/13-who-wrote-your-knowledge-base/rank-probe.cjs:30	embedAll > fetch	3. 對外的網路請求（fetch）	有條件；只有提供 --embed 才可達	命令列提供的 EMBED 字串直接成為 fetch 的目的地（code/13-who-wrote-your-knowledge-base/rank-probe.cjs:126-131、151-153）。
18	code/11-what-the-model-reads/summarize.mjs:20	layers > dropTags > MODEL_CMD > shell command substitution > printf	4. 把生成內容交付出去（客服信件的輸出）	有條件；text 層會移除 script、style 與 HTML 註解，但其他文字可達	stdin 的外部 HTML 經 text 抽取後送模型，生成回覆最後寫入回覆檔（code/11-what-the-model-reads/layers.mjs:44-51；code/11-what-the-model-reads/run-attacks.sh:54、65）。
19	code/11-what-the-model-reads/summarize.mjs:20	layers > stripInvisible > MODEL_CMD > shell command substitution > printf	4. 把生成內容交付出去（客服信件的輸出）	有條件；human 層會移除 U+E0000..U+E007F，該載體是死路徑	外部 HTML 的 Tags 碼點在 human 層由 stripInvisible 移除，未被移除的內容才可能影響寫出的模型回覆（code/11-what-the-model-reads/layers.mjs:18、51；code/11-what-the-model-reads/run-attacks.sh:54、65）。
20	code/23-what-can-actually-reach-it/intake.mjs:45	ask > classify > parseVerdict > main	4. 把生成內容交付出去（客服信件的輸出）	沒有輸入側附件檢查；scope=typed 時附件不過那道檢查，但輸出分類器仍可能擋	附件文字直接拼進模型上下文，輸出分類為 ok 時流程標成到達輸出（code/23-what-can-actually-reach-it/intake.mjs:76、91-95）。
21	code/23-what-can-actually-reach-it/intake.mjs:45	lengthGate > scenarioGate > ask > classify > parseVerdict > main	4. 把生成內容交付出去（客服信件的輸出）	有條件；scope=both 時附件會被 length 或 scenario 擋住	both 分支把附件送入兩道內容檢查，任一道 deny 就不呼叫 ask；全過且輸出分類 ok 才到達輸出（code/23-what-can-actually-reach-it/intake.mjs:77-95）。
