# 標籤	final
# 跑的時間	2026-08-24 09:24:09 +0800
# commit	c93b850cb639367e318479adf56ba58d74ef3ab3
# 被量的那些 recipe 有未提交的改動	no
# MODEL_CMD	bash stub-model.sh（罐頭，run.sh 自己設的）
# run.sh 離開碼	1
case	path	期望	紀錄	實測	結果
C01	R4	擋	沒擋	沒擋	缺口
C02	R6	擋	沒擋	沒擋	缺口
C03	R14	擋	沒擋	沒擋	缺口
C04	R5	擋	擋住	擋住	符合
C05	R7	擋	沒擋	沒擋	缺口
C06	R8	擋	擋住	擋住	符合
C07	R10	擋	沒擋	沒擋	缺口
C08	R13	擋	擋住	擋住	符合
C09	R9	擋	擋住	擋住	符合
C10	R12	擋	沒擋	沒擋	缺口
C11	R1	可接受	沒擋	沒擋	符合
C12	KB-W	擋	沒擋	沒擋	缺口
C13	R10	擋	擋住	擋住	符合
C14	R4	擋	擋住	擋住	符合
C15	R15	可接受	沒擋	沒擋	符合
C16	R4	擋	擋住	擋住	符合
