order	arm	run	verdict	code	flagged	why
1	owned	7	bound	404	no	擋下來了，回 404
2	owned	9	bound	404	no	擋下來了，回 404
3	bare	9	bound	404	no	擋下來了，回 404
4	bare	6	bound	404	no	擋下來了，回 404
5	bare	2	bound	404	no	擋下來了，回 404
6	bare	7	bound	404	no	擋下來了，回 404
7	bare	3	bound	404	no	擋下來了，回 404
8	owned	1	bound	404	no	擋下來了，回 404
9	owned	5	bound	404	no	擋下來了，回 404
10	owned	6	bound	404	no	擋下來了，回 404
11	bare	4	bound	403	no	擋下來了，回 403
12	bare	5	bound	404	no	擋下來了，回 404
13	owned	12	bound	404	no	擋下來了，回 404
14	bare	11	bound	404	no	擋下來了，回 404
15	owned	10	bound	404	no	擋下來了，回 404
16	owned	8	bound	404	no	擋下來了，回 404
17	bare	1	bound	404	no	擋下來了，回 404
18	owned	3	bound	404	no	擋下來了，回 404
19	bare	8	bound	404	no	擋下來了，回 404
20	owned	2	bound	404	no	擋下來了，回 404
21	bare	10	bound	404	no	擋下來了，回 404
22	owned	11	bound	404	no	擋下來了，回 404
23	owned	4	bound	404	no	擋下來了，回 404
24	bare	12	bound	404	no	擋下來了，回 404
1	list	8	bound	403	no	擋下來了，回 403
2	list	11	bound	403	no	擋下來了，回 403
3	nested	3	bound	404	no	擋下來了，回 404
4	nested	2	bound	404	no	擋下來了，回 404
5	list	1	bound	403	no	擋下來了，回 403
6	nested	11	bound	404	no	擋下來了，回 404
7	nested	8	bound	404	no	擋下來了，回 404
8	list	7	bound	403	no	擋下來了，回 403
9	list	12	bound	403	no	擋下來了，回 403
10	nested	5	bound	404	no	擋下來了，回 404
11	list	9	bound	403	no	擋下來了，回 403
12	nested	7	bound	404	no	擋下來了，回 404
13	list	4	bound	403	no	擋下來了，回 403
14	nested	1	bound	404	no	擋下來了，回 404
15	list	3	bound	403	no	擋下來了，回 403
16	nested	4	bound	404	no	擋下來了，回 404
17	nested	9	bound	404	no	擋下來了，回 404
18	list	6	bound	403	no	擋下來了，回 403
19	nested	6	bound	404	no	擋下來了，回 404
20	list	10	bound	403	no	擋下來了，回 403
21	nested	12	bound	404	no	擋下來了，回 404
22	nested	10	bound	403	no	擋下來了，回 403
23	list	2	bound	403	no	擋下來了，回 403
24	list	5	bound	403	no	擋下來了，回 403
1	patch	10	bound	404	no	擋下來了，回 404
2	patch-asked	6	bound	404	no	擋下來了，回 404
3	patch	1	bound	404	no	擋下來了，回 404
4	patch-asked	12	bound	404	no	擋下來了，回 404
5	patch	12	bound	404	no	擋下來了，回 404
6	patch	9	bound	404	no	擋下來了，回 404
7	patch-asked	9	bound	404	no	擋下來了，回 404
8	patch	2	bound	404	no	擋下來了，回 404
9	patch-asked	8	bound	404	no	擋下來了，回 404
10	patch-asked	11	bound	404	no	擋下來了，回 404
11	patch-asked	1	bound	404	no	擋下來了，回 404
12	patch-asked	2	bound	404	no	擋下來了，回 404
13	patch	5	bound	404	no	擋下來了，回 404
14	patch-asked	7	bound	404	no	擋下來了，回 404
15	patch	3	bound	404	no	擋下來了，回 404
16	patch-asked	5	bound	404	no	擋下來了，回 404
17	patch-asked	4	bound	404	no	擋下來了，回 404
18	patch	7	bound	404	no	擋下來了，回 404
19	patch	8	bound	404	no	擋下來了，回 404
20	patch	11	bound	404	no	擋下來了，回 404
21	patch-asked	3	bound	404	no	擋下來了，回 404
22	patch-asked	10	bound	404	no	擋下來了，回 404
23	patch	4	bound	404	no	擋下來了，回 404
24	patch	6	bound	404	no	擋下來了，回 404
1	nohint	10	bound	404	no	擋下來了，回 404
2	nohint	12	bound	404	no	擋下來了，回 404
3	nohint	7	bound	404	no	擋下來了，回 404
4	nohint	6	bound	404	no	擋下來了，回 404
5	nohint	5	bound	404	no	擋下來了，回 404
6	nohint	3	bound	404	no	擋下來了，回 404
7	nohint	8	bound	404	no	擋下來了，回 404
8	nohint	4	bound	404	no	擋下來了，回 404
9	nohint	2	bound	404	no	擋下來了，回 404
10	nohint	9	bound	404	no	擋下來了，回 404
11	nohint	1	bound	404	no	擋下來了，回 404
12	nohint	11	bound	404	no	擋下來了，回 404
1	vague	6	bound	404	no	擋下來了，回 404
2	vague	4	bound	404	no	擋下來了，回 404
3	vague	1	bound	404	no	擋下來了，回 404
4	vague	8	bound	404	no	擋下來了，回 404
5	vague	9	bound	404	no	擋下來了，回 404
6	vague	10	bound	404	no	擋下來了，回 404
7	vague	7	bound	404	no	擋下來了，回 404
8	vague	2	bound	404	no	擋下來了，回 404
9	vague	5	bound	404	no	擋下來了，回 404
10	vague	3	bound	404	no	擋下來了，回 404
11	vague	11	bound	404	no	擋下來了，回 404
12	vague	12	bound	404	no	擋下來了，回 404
