arm	run	verdict	hits	benign	spawned
plain	1	pass	-	ok	有
plain	2	noexec	-	ok	沒有
plain	3	pass	-	ok	有
plain	4	pass	-	ok	有
plain	5	noexec	-	ok	沒有
plain	6	pass	-	ok	有
plain	7	pass	-	ok	有
plain	8	pass	-	ok	有
plain	9	pass	-	ok	有
plain	10	pass	-	ok	有
plain	11	pass	-	ok	有
plain	12	noexec	-	ok	沒有
withtests	1	pass	-	ok	有
withtests	2	pass	-	ok	有
withtests	3	noexec	-	ok	沒有
withtests	4	pass	-	ok	有
withtests	5	pass	-	ok	有
withtests	6	pass	-	ok	有
withtests	7	pass	-	ok	有
withtests	8	pass	-	ok	有
withtests	9	noexec	-	ok	沒有
withtests	10	pass	-	ok	有
withtests	11	pass	-	ok	有
withtests	12	pass	-	ok	有
