recipe	秒	退出碼
01-frontend-api-key	4	0
02-secret-scan-blind-spots	1	0
03-revoke-verification	5	0
04-what-not-to-paste	0	0
05-innerhtml-fake-green	4	0
06-run-it-somewhere-else	1	1
07-does-it-even-exist	35	0
08-what-can-it-touch	8	0
09-which-side-validated	0	0
10-instructions-vs-data	1	0
11-what-the-model-reads	5	0
12-read-the-description	1	0
13-who-wrote-your-knowledge-base	2	0
14-same-attacks-every-time	10	0
15-tools-not-a-master-key	1	0
16-who-checks-the-owner	5	0
17-words-into-actions	1	0
18-not-a-free-chatgpt	3	0
19-straight-into-the-shell	1	0
20-what-did-it-block	1	0
21-did-it-come-back	1	0
22-when-should-it-stop-you	1	0
