order	arm	run	verdict	code	flagged	why
1	patch	10	bound	404	no	擋下來了，回 404
2	patch-asked	6	bound	404	no	擋下來了，回 404
3	patch	1	bound	404	no	擋下來了，回 404
4	patch-asked	12	bound	404	no	擋下來了，回 404
5	patch	12	bound	404	no	擋下來了，回 404
6	patch	9	bound	404	no	擋下來了，回 404
7	patch-asked	9	bound	404	no	擋下來了，回 404
8	patch	2	bound	404	no	擋下來了，回 404
9	patch-asked	8	bound	404	no	擋下來了，回 404
10	patch-asked	11	bound	404	no	擋下來了，回 404
11	patch-asked	1	bound	404	no	擋下來了，回 404
12	patch-asked	2	bound	404	no	擋下來了，回 404
13	patch	5	bound	404	no	擋下來了，回 404
14	patch-asked	7	bound	404	no	擋下來了，回 404
15	patch	3	bound	404	no	擋下來了，回 404
16	patch-asked	5	bound	404	no	擋下來了，回 404
17	patch-asked	4	bound	404	no	擋下來了，回 404
18	patch	7	bound	404	no	擋下來了，回 404
19	patch	8	bound	404	no	擋下來了，回 404
20	patch	11	bound	404	no	擋下來了，回 404
21	patch-asked	3	bound	404	no	擋下來了，回 404
22	patch-asked	10	bound	404	no	擋下來了，回 404
23	patch	4	bound	404	no	擋下來了，回 404
24	patch	6	bound	404	no	擋下來了，回 404
