# 白箱那半：外部模型從程式碼追出 21 條路徑（sol-paths.tsv），我逐條判。
#
# 判決有六個值。前兩種會進 surface.tsv，後四種不會：
#   收           原判斷可直接採用，對應到哪一列寫在最後一欄
#   更正後收     路徑成立，但它「擋不擋得住」判反了，更正之後才進清單
#   重複         跟已經收的那條是同一條路徑
#   死路徑       它列的入口在客服 bot 上不成立（示範用的關掉檢查的旗標之類）
#   不在清點對象 那條路徑屬於別的示範或量測腳本，不是客服 bot 的執行路徑
#   引用對不上   file:line 指不到東西
#
# 21 條進清單 11、擋掉 10。這個比例就是規格【分工】要的證據：
# 照單全收會有將近一半打空氣。對照組：Day 22 拿模型審自己的 diff，八條裡我擋掉三條。
#
# 「收」原本寫成「進清單」，而判斷相反那條也進了清單（R3），定義自相矛盾，
# 2026-08-22 的技術審查抓到，所以分成「收」與「更正後收」。
它列的	判決	理由	對應
1	死路徑	gate=off 是這份示範的對照組旗標，客服 bot 沒有「把檢查關掉」這個設定	-
2	收	模型填的網址過字串白名單才 fetch	R9
3	收	safe-fetch 每一跳重過那道檢查	R13
4	收	它指出 --gate on 那條分支用的是裸 fetch（15/agent.mjs:110），預設跟著重導向。我原本拿 safe-fetch.mjs 量這一格，量到「被擋死」，量錯路徑了	R10
5	重複	跟第 3 條同一條	R13
6	死路徑	gate=none 同樣是對照組	-
7	收	意圖核對檢查只比對同一份模型回覆裡的兩個欄位	R4
8	收	外部基準檢查看使用者原話，擋得住	R5
9	收	白名單檢查對 1001 到 1003 的 delete_order 一律放行	R14
10	重複	跟第 7 條同一條	R4
11	收	工具回傳的額外欄位整包序列化進上下文	R6
12	重複	跟第 8 條同一條	R5
13	收	使用者自己要求刪除。清單列的是路徑，不分善意惡意，R1 那條正常流量也在上面，所以這條沒有理由排除	R15
14	收	execute() 只吃 id，沒有一處比對發問者是誰	R7
15	引用對不上	16-who-checks-the-owner/server.mjs 不存在。這一條是我的錯：我把目錄壓平了才交出去，before/server.mjs 與 after/server.mjs 同名互相覆蓋，模型只讀到一份	-
16	引用對不上	16-who-checks-the-owner/known-bad.mjs 不存在，真實路徑是 control/known-bad.mjs。同上，壓平目錄造成的	-
17	不在清點對象	13 的 rank-probe.cjs 是量測腳本，網址從命令列來，不在客服 bot 的執行路徑上	-
18	不在清點對象	11 的 run-attacks.sh 寫的是量測留檔，不是寄給客戶的信	-
19	不在清點對象	同上	-
20	收	附件文字直接拼進上下文，輸入側三道看不到它	R2
21	更正後收	它說 --gate both 會被 length 或 scenario 擋住。實測沒擋住：附件的主題就是訂單，第三道判 SCENARIO_OK	R3
