編號	突變	期望	得到	結果
M1	把七條已知缺口簽成過了	期望沒過（第 2 條）	得到沒過（第 2 條）	通過
M2	把沒測那一列簽成過了	期望沒過（第 2,3 條）	得到沒過（第 2,3 條）	通過
M3	有重跑指令卻簽成沒測	期望沒過（第 2,3 條）	得到沒過（第 2,3 條）	通過
M4	重跑指令指到不存在的檔	期望沒過（第 4 條）	得到沒過（第 4 條）	通過
M5	把沒測清單清空	期望沒過（第 1,5 條）	得到沒過（第 1,5 條）	通過
M6	沒測清單的數字改成手寫的	期望沒過（第 5 條）	得到沒過（第 5 條）	通過
M7	把 30 從分級表拿掉	期望沒過（第 6 條）	得到沒過（第 6 條）	通過
M8	把來源紀錄的一列改成跟實測不一樣	期望沒有結論	得到沒有結論	通過
M9	鏈那一組的修好版不再逃逸	期望沒過（第 2 條）	得到沒過（第 2 條）	通過
M10	彙整腳本跑一次就改到別人的檔案	期望沒過（第 7 條）	得到沒過（第 7 條）	通過
M11	README 的索引表少了 30 那列	期望沒過（第 8 條）	得到沒過（第 8 條）	通過
M0	standard.tsv 加一行註解	期望通過	得到通過	通過

通過 12、沒抓到 0
